FIELD_NAME,DESCRIPTION,DATA_TYPE,INPUT_FIELD,CALCULATED_FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_XRD,Number of Months Late at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRF_XRD,Late Retirement Factor at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_XRD_MAXLIM,Number of Months Late at XRD for MGB Calculation,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRF_XRD_MAXLIM,Late Retirement Factor at XRD for MGB Calculation,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSPOPUP,"Termination J&S Popup Benefit at XRD (this is the amount that the benefit pops up not the amount it pops up to)
If the participant retired after DOPT with a J&S Popup, JSPOPUP should be populated with the DOR popup amount and otherwise the XRD popup amount.",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLA,COLA Indicator (000=No COLA) (No longer used) ,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVF_LEV,"PBGC Present Value Factor for XRD_MB_TERM (For pre November, 1993 valuations, see Federal Register September 28, 1993)
Because we started using a different basis for annuity and lump sum present value factors in November, 1993, this field is generally no longer used. ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVF_LEV_LS,PBGC Present Value Factor using Lump Sum Assumptions for Primary Level Life XRD Beenfit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVF_LEV_ANN,PBGC Present Value Factor using Annuity Assumptions for Primary Level Life XRD Benefit ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVFJSPOP,PBGC Present Value Factor using Annuity Assumptions for XRD JSPOPUP benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVPBC,Present Value of Plan Benefit Commitments (for SEPPAA Plans - this field is not used for current valuation work),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVPBL_LS_RATES,"Present Value of Plan Benefit Liabilities (through PC6, rounded) using lump sum assumptions",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVPBL_ANN_RATES,"Present Value of Plan Benefit Liabilities (through PC6, rounded) using annuity assumptions",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVRETEEC,Present Value of Elected Return of Employee Contributions (LS_TERM minus PVRETEEC must equal the residual lump sum value which is the lump sum value of the employer provided benefit),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUX_DIS_BEN,Termination Monthly Disability Benefit Payable Prior to Aux_Dis_Change_DATE [= $0 if Benefit Amount cannot change under plan provisions] ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUX_DIS_CHANGE_DATE,"Date on Which Participant Starts Receiving Non-Disability Benefit, usually same as NRD",DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QPSA_COVG_MONTHS,Number of months of Qualified Pre-retirement Survivor Annuity (QPSA) coverage prior to DOPT,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QPSAF,Factor for pre-DOPT QPSA charge.,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC_QPSA_CHGS,Accumulated pre-DOPT QPSA charges (for example QPSA_Covg_Months * QPSAF) ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_QPSAF,Plan administrator's QPSA factor.,NUMBER,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QPSA_PVF,PBGC Present Value Factor for the QPSA,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRD_MB_QPSA_TERM,"QPSA XRD Termination Monthly Benefit - only needs to be populated for deferred records that are being valued as married.
For participant records for which the participant died after DOPT and the lump sum value is greater than $5,000 and there is actual surviving spouse data available and the surviving spouse is still deferred the amount in this field gets populated into the XRD_MB_TERM field of the beneficiary record created by Data Validation which is then loaded to Genesis.",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUITY_STATUS_VAL,"According to the valuation classification, is participant an annuity (A) or lump sum (L) status Participant? (this is only used for cases with DOPT's on or after 1/01/1993 and before 05/01/2000)",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUITY_STATUS_PAY,"For payment purposes, is participant an annuity (A) or lump sum (L) status participant?",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETRO_EURD_IND,"Indicator to specify if participant is eligible for early unreduced benefits prior to NRA. 0 = No eligibility for unreduced benefits before NRA, 1 = A plan-defined early unreduced benefit is available, 2 = No plan-defined early unreduced benefits are available, but the participant may effectively be able to receive unreduced benefits prior to NRA due to phase-in, 3 = No plan-defined early unreduced benefits are available, but the participant may effectively be able to receive unreduced benefits prior to NRA because his funded PC3 benefit is larger than his guaranteed benefit. 4 = There is both a plan-defined early unreduced benefit and a possibility of receiving an unreduced early benefit due to phase-in or a PC3 allocation. (Add codes as necessary)",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONE_YEAR_BIS_IND,Did the participant incur a one year break in service in the last plan year prior to DOPT (Y/N)?,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEMED_CASHED,Was the participant deemed to be cashed out prior to DOPT (Y/N)?,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC2_LEVEL_MB,Primary Level Life XRD PC2 monthly benefit ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_LEVEL_MB,Primary Level Life XRD PC3 monthly benefit ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4_LEVEL_MB,Primary Level Life XRD PC4 monthly benefit ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4A_LEVEL_MB,"Primary Level Life XRD PC4B monthly benefit (for substantial owners, majority owners, or benefits reduced by PBGC’s Aggregate Maximum limitation) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4B_LEVEL_MB,"Primary Level Life XRD PC4B monthly benefit (for substantial owners, majority owners, or benefits reduced by PBGC’s Aggregate Maximum limitation) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5_LEVEL_MB,Total Primary Level Life XRD PC5 monthly benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6_LEVEL_MB,Primary Level Life XRD PC6 monthly benefit ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRD_MB_TITLE_IV,Primary Level Life XRD Title IV monthly benefit ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRD_MB_4022C,Primary Level Life XRD 4022(c) monthly benefit ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRD_MB_TERM,Primary Level Life XRD Termination monthly benefit ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERD_MB_TITLE_IV_NSF,Primary Level Life ERD Title IV Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERD_MB_4022C_NSF,Primary Level Life ERD 4022(c) Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM_MB_ERD_NSF,Primary Level Life ERD Termination Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURD_MB_TITLE_IV_NSF,Primary Level Life EURD Title IV Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURD_MB_4022C_NSF,Primary Level Life EURD 4022(c) Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM_MB_EURD_NSF,Primary Level Life EURD Termination Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRD_MB_TITLE_IV_NSF,Primary Level Life NRD Title IV Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRD_MB_4022C_NSF,Primary Level Life NRD 4022(c) Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM_MB_NRD_NSF,Primary Level Life NRD Termination Monthly Benefit in the NSF,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC1_4044_AR,4044 Asset allocation ratio for PC1,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC2_4044_AR,4044 Asset allocation ratio for PC2,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_BAS_4044_AR,4044 Asset allocation ratio for PC3 basic,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_NBAS_4044_AR,4044 Asset allocation ratio for PC3 non-basic,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4B_4044_AR,4044 Asset allocation ratio for PC4B,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5_4044_AR,4044 Asset allocation ratio for PC5,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6_4044_AR,4044 Asset allocation ratio for PC6,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC1_4022C_AR,4022(c) Asset allocation ratio for PC1,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC2_4022C_AR,4022(c) Asset allocation ratio for PC2,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_BAS_4022C_AR,4022(c) Asset allocation ratio for PC3 basic,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_NBAS_4022C_AR,4022(c) Asset allocation ratio for PC3 non-basic,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4B_4022C_AR,4022(c) Asset allocation ratio for PC4B,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5_4022C_AR,4022(c) Asset allocation ratio for PC5,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6_4022C_AR,4022(c) Asset allocation ratio for PC6,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC2_ANNUITY_PVMB,"Present Value of PC2 Annuity Benefit Without Expense Load
(Equals Mandatory Employee Contributions with Interest at DOPT (MANDCWI) if employee elects to withdraw contributions. Otherwise, equals present value an of annuity derived from mandatory employee contributions using (PBGC) annuity assumptions)",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC2_LOAD_PVMB,PC2 expense load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC2_LSDB_PVMB,"Present value of PC2 lump sum death benefit Without Expense Load (not the same as QPSA). Equals, MANDCWI x probability of death before XRD, minus PV of PC2 QPSA) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC2_NONBASIC_PVMB,Present Value of PC2 Non-Basic Benefit Without Expense Load (The portion of PC2 which is not guaranteed and is only payable to the extent covered by assets.) ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC2_TOTAL_PV,Total Present Value of PC2,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_BAS_ANNUITY_PVMB,Present value of PC3 (basic) annuity benefit Without Expense Load ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_NBAS_ANNUITY_PVMB,Present value of PC3 (non-basic) annuity benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_QPSA_PVMB,Present value of PC3 QPSA benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_BAS_LOAD_PVMB,PC3 (basic) expense load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_NBAS_LOAD_PVMB,PC3 (non-basic)  expense load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC3_TOTAL_PV,Total Present Value of PC3,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4_ANNUITY_PVMB,Present value of PC4 Annuity benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4_QPSA_PVMB,Present value of PC4 QPSA benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4_LOAD_PVMB,PC4 expense load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4_LSDB_PVMB,Present value of PC4 lump sum death benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4A_ANNUITY_PVMB,"Present value of PC4A Annuity benefit Without Expense Load (for substantial or majority owners, or participant benefits reduced for PBGC’s Aggregate Maximum limitation) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4A_QPSA_PVMB,"Present value of PC4A QPSA benefit Without Expense Load (for substantial or majority owners, or participant benefits reduced for PBGC’s Aggregate Maximum limitation) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4A_LOAD_PVMB,"PC4A expense load (for substantial or majority owners), or participant benefits reduced for PBGC’s Aggregate Maximum limitation) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4A_LSDB_PVMB,"Present Value PV of PC4A lump sum death benefit (for substantial or majority owners, or participant benefits reduced for PBGC’s Aggregate Maximum limitation)",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4B_ANNUITY_PVMB,"Present value of PC4B Annuity benefit Without Expense Load (for substantial or majority  owners, or participant benefits reduced for PBGC’s Aggegrate Maximum limitation) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4B_QPSA_PVMB,"Present value of PC4B QPSA benefit Without Expense Load (for substantial or majority  owners, or participant benefits reduced fro PBGC’s Aggregate Maximum limitation) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4B_LOAD_PVMB,"PC4B expense load (for substantial or majority owners, or participant benefits reduced for PBGC’s Aggregate Maximum limitation) ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4B_LSDB_PVMB,PV of PC4B lump sum death benefit (for substantial or majority owners. Oor participant benefits reduced for PBGC’s Aggregate Maximum limitationiton) ,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC4_TOTAL_PV,Total Present Value of PC4,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5_ANNUITY_PVMB,Present value of PC5 Annuity benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5_QPSA_PVMB,Present value of PC5 QPSA benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5_LOAD_PVMB,PC5 expense load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5_LSDB_PVMB,Present value of PC5 lump sum death benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC5_TOTAL_PV,Total Present Value of PC5,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6_ANNUITY_PVMB,Present value of PC6 annuity benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6_QPSA_PVMB,Present value of PC6 QPSA benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6_LOAD_PVMB,PC6 expense load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6_LSDB_PVMB,Present value of PC6 lump sum death benefit Without Expense Load,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC6_TOTAL_PV,Total Present Value of PC6,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE_IV_PV_TOT,Total Present Value for Title IV Benefit (DO NOT USE),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV_TOT_4022C,Total Present Value for Title IV Benefit Total Present Value for 4022(c) Benefit (DO NOT USE),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM_PV_TOT,Total Present Value for Termination Benefit (DO NOT USE),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_TITLE_IV,Total Present value of Title IV benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_4022C,Total Present value of 4022(c) benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMB_TERM,Total Present value of termination benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS_TERM,"The 'lump sum discriminator' is the present value of termination benefit, excluding QPSA, using lump sum assumptions (excluding interest from DOPT). ",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM_LW_ANB,Termination liability weighted ANB at DOPT (use SANB if ID = 2),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM_LW_XRA,Termination liability weighted XRA (use SXRA if ID = 2),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGFA_PVMB,Present Value of guaranteed benefit funded by plan assets,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGNFA_PVMB,Present Value of guaranteed benefit NOT funded by plan assets,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNFA_PVMB,Present Value of basic non-guaranteed benefit funded by plan assets,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNNFA_PVMB,Present Value of basic non-guaranteed benefit NOT funded by plan assets,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNF4_PVMB,Present Value of basic non-guaranteed benefit funded by 4022(c),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNNF4_PVMB,Present Value of basic non-guaranteed benefit NOT funded by 4022(c),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNFA_PVMB,Present Value of non-basic non-guaranteed benefit funded by plan assets,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNNFA_PVMB,Present Value of non-basic non-guaranteed benefit NOT funded by plan assets,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNF4_PVMB,Present Value of non-basic non-guaranteed benefit funded by 4022(c),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNNF4_PVMB,Present Value of non-basic non-guaranteed benefit NOT funded by 4022(c),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN_TOT,Within Benefit Tolerance Indicator (retiree $5/5% check) (Y/N) ,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN_ACCEPT,In-Pay Status Benefit Acceptance Indicator (Y/N),TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOAD_PCT,Expense Load Percentage,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_ENTRY_STATUS,Data Entry Status values that can only be entered and viewed in BCV_Leo - database building team defines values (e.g. 0 - not complete and 1 - complete),NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_STATUS,Review Status values that can only be entered and viewed in BCV_Leo - database building team defines values (e.g. 0 - not reviewed and 1 - reviewed),NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENTS,Comments that can only be entered and viewed in BCV_Leo.,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER_DELETE_FLAG,Deleted record indicator (Y = deleted record).  Note records can only be added or deleted via BCV_Leo.  The system populates this fields when a record is deleted in BCV_Leo.,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATABASE_ID,"Unique system generated BCV database ID (in general each case has one database ID but to support the migration effort, the system does allow for more than one database ID for a case)",NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATED_BY_USER_ID,User ID for the user who added the record to the database.  This can only be done in BCV_Leo.,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEQ_PP_MORT,Participant Mortality Table Code for NPVF for Plan Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEQ_BE_MORT,Beneficiary Mortality Table Code for NPVF for Plan Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEQ_INTEREST,Interest Rate Range Name for NPVF for Plan Actuarial Equivalence Calculations,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPVF_FORM_CODE,"Valuation XRD Form Code for NPVF2 function (SLA, JSC, JSP, JSN, JSJ, CTN)",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPVF_FORM_CODE_NSF,"Normal Single Form Code for NPVF function (SLA, JSC, JSP, JSN, JSJ, CTN)",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
