FIELD_NAME,DESCRIPTION,DATA_TYPE,INPUT_FIELD,CALCULATED_FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJSWC,"Spouse J&S Waiver Code (Y=Waived, N=Not Waived, U=Unknown) ",TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOB,Participant's Date of Birth,DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDOB,Spouse's Date of Birth,DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL_SDOB,Spouse's Date of Birth used for valuation (sames as SDOB if known otherwise calculated based on male spouses being 4 years older than female spouses),DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH,Participant's Date of Hire,DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOP,Participant's Date of Participation,DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOBF,Participant's Date of Benefit Freeze,DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTE,Participant's Date of Termination of Employment (DOPT used for default RBD calculation when NULL and RETSTAT is '3' or '4'),DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDERDLEV,Start Date of the Level Life Benefit at the PBGC Earliest Commencement Date as of the BD Issuance,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDERDLEV,End Date of the (last day benefit payable) Level Life Benefit at the PBGC Earliest Commencement Date as of the BD Issuance (Life = 12/01/2099),DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRD,Normal Retirement Date,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRD,"Expected Retirement Date (Use the first of the month on/after DOPT for Retirees, Beneficiaries, and APs in pay status at DOPT.) ",DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD_LEV,Start Date of the Primary Level Life XRD Benefit,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED_LEV,End Date (last day benefit payable) of the Primary Level Life XRD Benefit (Life = 12/01/2099),DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDEUAS,"Start Date of the Level Life Benefit at the PBGC Earliest Unreduced Retirement Date) as of the BD Issuance
If eligible for early unreduced retirement after DOPT but before BD Issuance, set to the earliest unreduced date that occurs on or after DOPT.",DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDEUAS,End Date Ilast day benefit payable) of the Level Life Benefit at the PBGC Earliest Unreduced Retirement Date as of the BD Issuance (Life = 12/01/2099),DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDCC,Begin Date of the C&C Period (For valuation purposes; need date on or after DOPT),DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCC,End Date (last day benefit payable)  of the C&C Period ,DATE/TIME,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOD,Participant's Date of Death,DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDOD,Spouse's Date of Death,DATE/TIME,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANB,Participant's Age Nearest Birthday at DOPT,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANB,Beneficiary's Age Nearest Birthday at DOPT,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADOTE,Participant's Attained Age at DOTE,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADOPT,Participant's Attained Age at DOPT,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAXRD,Participant's Attained Age at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAAXRD,Spouse/Beneficiary/AP's Attained Age at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERA_XRA,"Age Nearest Birthday at Earliest PBGC Retirement Date as of DOPT (if eligible to retire before DOPT set to age nearest birthday at DOPT not first of the month following DOPT)
Note, only applicable for records not in pay at DOPT and also note that the BD Issuance Date is not applicable for this calculated value",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURA_XRA,"Age Nearest Birthday at Earliest Unreduced PBGC Retirement Date as of DOPT (if eligible to retire with an unreduced benefit before DOPT set to age nearest birthday at DOPT not first of the month following DOPT)
The earliest unreduced retirement date is based on the plan provisions before taking into account PBGC limitations (i.e., the plan date is used even if the benefit at that date is reduced by PBGC limitations).
Note, only applicable for records not in pay at DOPT and also note that the BD Issuance Date is not applicable for this calculated value",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB_EURA_XRA,"PBGC guaranteed monthly benefit payable at unreduced retirement age in the normal single form.  Only the lifetime benefit amount is include, i.e., supplements and other temporary or deferred benefits are ignored.
In the case of a substantial/majority owner, the PBGC guaranteed benefit as a non-substantial/majority owner is used.  Only populate this field when it is needed for determing the benefit level for the XRA table.",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURA_PBGC, Age Nearest Birthday a PBGC’s Earliest Unreduced Retirement as of DOPT after application of PBGC limitations and performance of allocations.,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRA,Normal Retirement Age (age nearest birthday at Normal Retirement Date),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRA,Participant's Expected Retirement Age (used to calculate liability and lump sum present value factors),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANB_XRD,Participant's Age Nearest Birthday at the Expected Retirement Date (generally used for BFCF calculation),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SXRA,Beneficiary's Expected Retirement Age (used to calculate liability and lump sum present value factors),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANB_XRD,Beneficiary's Age Nearest Birthday at Expected Retirement Date (generally used for BFCF calculation),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGELEV,Starting Age Nearest Birthday of the Primary Level Life XRD Benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGELEV,Ending Age Nearest Birthday of the Primary Level Life XRD Benefit,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_CODE,"Primary Level Life XRD Benefit Form (1=Installment Refund, 2=SLA, 3=Modified Cash Refund, 4=Certain Only, 5=C&C, 6=Temporary, 7=Joint, 8=J&S Joint, 9=J&S Contingent, 0=J&S Popup)
(A=Non-Traditional J&S with Certain, B=Non-Traditional J&S Popup with Certain)
(C=J&S Joint with Installment Refund, D=J&S Contingent with Installment Refund, E=J&S Popup with Installment Refund)
(F=J&S Joint with Modified Cash Refund, G=J&S Contingent with Modified Cash Refund, H=J&S Popup with Modified Cash Refund)
For a J&S with a certain period, populate both SPC_VAL and MTHS - applies to both Contingent and Popup.",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_CODE_NSF,Normal Single Benefit Form (same codes as FORM_CODE),TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM_CODE_NMF,Normal Married Benefit Form (same codes as FORM_CODE),TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSOPTION,May Customer Elect a Lump Sum from PBGC? This field should always be set to N for all records (PBGC used to allow the payment of non-de minimis lump sums is certain scenarios but this policy has changed).,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS_IND,"Benefit Statement Indicator - Y or R statement can be generated in BSRS/BET program (N is assumed if not populated).  The header on the BD statement and worksheet generated through either individual or bulk processing will include the work ""Revised"" when the field is populated with R instead of Y.",TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_IND,Benefit Recalculation Indicator - Y recalculation/calculation can be generated in BSRS/BET program (N is assumed if not populated).,TEXT,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
