output_field,module_name,rule_applied,input_groups,intermediate_flags
eligibility_service_resolved,service_resolution,service_resolution@0.1.0:plan_year_1000_hours,"case_plan_timeline;resolved_plan_logic;participant_role_population;service_employment_history;actuarial_assumption_factor_set;limitation_packet","branch;freeze_applied;break_applied;transfer_applied;segment_applied;override_applied"
vesting_service_resolved,service_resolution,service_resolution@0.1.0:plan_year_1000_hours,"case_plan_timeline;resolved_plan_logic;participant_role_population;service_employment_history;actuarial_assumption_factor_set;limitation_packet","branch;freeze_applied;break_applied;transfer_applied;segment_applied;override_applied"
benefit_service_resolved,service_resolution,service_resolution@0.1.0:plan_year_1000_hours,"case_plan_timeline;resolved_plan_logic;participant_role_population;service_employment_history;actuarial_assumption_factor_set;limitation_packet","branch;freeze_applied;break_applied;transfer_applied;segment_applied;override_applied"
accrual_service_resolved,service_resolution,service_resolution@0.1.0:plan_year_1000_hours,"case_plan_timeline;resolved_plan_logic;participant_role_population;service_employment_history;actuarial_assumption_factor_set;limitation_packet","branch;freeze_applied;break_applied;transfer_applied;segment_applied;override_applied"
