output_field,module_name,rule_applied,input_groups,intermediate_flags
compensation_resolved,compensation_resolution,compensation_resolution@0.1.0:final_average_pay,"case_plan_timeline;resolved_plan_logic;participant_role_population;service_employment_history;compensation_accrual_inputs;benefit_administration_state;limitation_packet","branch;compensation_history_used;override_applied;covered_compensation_applied;compensation_limit_applied;frozen_benefit_support_applied;pia_offset_applied"
average_compensation_resolved,compensation_resolution,compensation_resolution@0.1.0:final_average_pay,"case_plan_timeline;resolved_plan_logic;participant_role_population;service_employment_history;compensation_accrual_inputs;benefit_administration_state;limitation_packet","branch;compensation_history_used;override_applied;covered_compensation_applied;compensation_limit_applied;frozen_benefit_support_applied;pia_offset_applied"
covered_compensation_resolved,compensation_resolution,compensation_resolution@0.1.0:final_average_pay,"case_plan_timeline;resolved_plan_logic;participant_role_population;service_employment_history;compensation_accrual_inputs;benefit_administration_state;limitation_packet","branch;compensation_history_used;override_applied;covered_compensation_applied;compensation_limit_applied;frozen_benefit_support_applied;pia_offset_applied"
